DateTime,Home,BI,BO,DW,HP,PV,SE,SI,WM,proposition,UL
2016-04-01 00:00:00,10,40.0,0.0,0.0,1600.0,0.0,0.0,2260.0,0.0,ZIH,620.0
2016-04-01 00:15:00,10,40.0,0.0,0.0,1640.0,0.0,0.0,2072.0,0.0,ZIH,392.0
2016-04-01 00:30:00,10,40.0,0.0,0.0,1640.0,0.0,0.0,2016.0,0.0,ZIH,336.0
2016-04-01 00:45:00,10,80.0,40.0,0.0,1640.0,0.0,0.0,2072.0,0.0,ZIH,392.0
2016-04-01 01:00:00,10,40.0,0.0,0.0,1680.0,0.0,0.0,2260.0,0.0,ZIH,540.0
2016-04-01 01:15:00,10,40.0,0.0,0.0,1640.0,0.0,0.0,2072.0,0.0,ZIH,392.0
2016-04-01 01:30:00,10,40.0,40.0,0.0,1640.0,0.0,0.0,2012.0,0.0,ZIH,372.0
2016-04-01 01:45:00,10,40.0,0.0,0.0,1680.0,0.0,0.0,2212.0,0.0,ZIH,492.0
2016-04-01 02:00:00,10,80.0,0.0,0.0,1680.0,0.0,0.0,2100.0,0.0,ZIH,340.0
2016-04-01 02:15:00,10,40.0,40.0,0.0,1640.0,0.0,0.0,1984.0,4.0,ZIH,340.0
2016-04-01 02:30:00,10,40.0,0.0,0.0,1680.0,0.0,0.0,2036.0,0.0,ZIH,316.0
2016-04-01 02:45:00,10,40.0,0.0,0.0,1680.0,0.0,0.0,1888.0,0.0,ZIH,168.0
2016-04-01 03:00:00,10,40.0,0.0,0.0,1680.0,0.0,0.0,1880.0,0.0,ZIH,160.0
2016-04-01 03:15:00,10,40.0,40.0,0.0,1680.0,0.0,0.0,1892.0,0.0,ZIH,212.0
2016-04-01 03:30:00,10,80.0,0.0,0.0,1680.0,0.0,0.0,2060.0,0.0,ZIH,300.0
2016-04-01 03:45:00,10,40.0,0.0,0.0,1720.0,0.0,0.0,1924.0,12.0,ZIH,152.0
2016-04-01 04:00:00,10,40.0,40.0,0.0,1680.0,0.0,0.0,2220.0,336.0,ZIH,204.0
2016-04-01 04:15:00,10,40.0,0.0,0.0,1680.0,0.0,0.0,2136.0,116.0,ZIH,300.0
2016-04-01 04:30:00,10,40.0,0.0,0.0,1720.0,0.0,0.0,2052.0,112.0,ZIH,180.0
2016-04-01 04:45:00,10,80.0,0.0,0.0,1680.0,0.0,0.0,2020.0,112.0,ZIH,148.0
2016-04-01 05:00:00,10,40.0,40.0,0.0,1720.0,0.0,0.0,2180.0,112.0,ZIH,348.0
2016-04-01 05:15:00,10,40.0,0.0,0.0,1680.0,0.0,0.0,2032.0,112.0,ZIH,200.0
