DateTime,Home,BI,BO,DW,HP,PV,SE,SI,WM,proposition,UL
2016-04-01 00:00:00,12,120.0,40.0,44.0,1240.0,0.0,0.0,1964.0,0.0,ZIH,600.0
2016-04-01 00:15:00,12,80.0,40.0,60.0,1280.0,0.0,0.0,1952.0,0.0,ZIH,572.0
2016-04-01 00:30:00,12,80.0,40.0,68.0,1720.0,0.0,0.0,2632.0,0.0,ZIH,804.0
2016-04-01 00:45:00,12,80.0,40.0,36.0,1960.0,0.0,0.0,2724.0,0.0,ZIH,688.0
2016-04-01 01:00:00,12,120.0,80.0,60.0,2200.0,0.0,0.0,2596.0,0.0,ZIH,296.0
2016-04-01 01:15:00,12,40.0,0.0,116.0,1120.0,0.0,0.0,1696.0,0.0,ZIH,420.0
2016-04-01 01:30:00,12,80.0,40.0,1004.0,0.0,0.0,0.0,1136.0,0.0,ZIH,92.0
2016-04-01 01:45:00,12,80.0,40.0,944.0,40.0,0.0,0.0,1296.0,0.0,ZIH,272.0
2016-04-01 02:00:00,12,40.0,0.0,0.0,40.0,0.0,0.0,220.0,0.0,ZIH,140.0
2016-04-01 02:15:00,12,80.0,0.0,52.0,520.0,0.0,0.0,648.0,0.0,ZIH,-4.0
2016-04-01 02:30:00,12,80.0,40.0,0.0,1240.0,0.0,0.0,1396.0,0.0,ZIH,116.0
2016-04-01 02:45:00,12,80.0,80.0,20.0,1240.0,0.0,0.0,1428.0,0.0,ZIH,168.0
2016-04-01 03:00:00,12,80.0,40.0,80.0,1240.0,0.0,0.0,1500.0,0.0,ZIH,140.0
2016-04-01 03:15:00,12,80.0,40.0,32.0,1240.0,4.0,0.0,1524.0,0.0,ZIH,216.0
2016-04-01 03:30:00,12,80.0,40.0,0.0,1280.0,0.0,0.0,1512.0,0.0,ZIH,192.0
2016-04-01 03:45:00,12,120.0,40.0,0.0,1280.0,0.0,0.0,1496.0,0.0,ZIH,136.0
2016-04-01 04:00:00,12,80.0,40.0,48.0,1280.0,0.0,0.0,1560.0,0.0,ZIH,192.0
2016-04-01 04:15:00,12,80.0,40.0,0.0,1280.0,0.0,0.0,1516.0,0.0,ZIH,196.0
2016-04-01 04:30:00,12,80.0,40.0,8.0,1280.0,0.0,0.0,1464.0,0.0,ZIH,136.0
2016-04-01 04:45:00,12,120.0,40.0,80.0,1280.0,0.0,0.0,1544.0,0.0,ZIH,104.0
2016-04-01 05:00:00,12,80.0,40.0,44.0,1280.0,0.0,0.0,1512.0,0.0,ZIH,148.0
2016-04-01 05:15:00,12,80.0,40.0,0.0,1280.0,0.0,0.0,1468.0,0.0,ZIH,148.0
2016-04-01 05:30:00,12,80.0,40.0,0.0,1320.0,0.0,0.0,1464.0,0.0,ZIH,104.0
2016-04-01 05:45:00,12,80.0,40.0,48.0,1280.0,0.0,0.0,1520.0,0.0,ZIH,152.0
2016-04-01 06:00:00,12,120.0,40.0,0.0,1280.0,0.0,0.0,1492.0,0.0,ZIH,132.0
2016-04-01 06:15:00,12,80.0,80.0,0.0,1320.0,0.0,0.0,1552.0,0.0,ZIH,232.0
2016-04-01 06:30:00,12,80.0,40.0,84.0,1320.0,0.0,0.0,1620.0,0.0,ZIH,176.0
2016-04-01 06:45:00,12,80.0,0.0,48.0,720.0,0.0,4.0,1116.0,0.0,ZIH,264.0
2016-04-01 07:00:00,12,40.0,40.0,0.0,40.0,0.0,0.0,260.0,0.0,ZIH,220.0
2016-04-01 07:15:00,12,40.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,ZIH,168.0
2016-04-01 07:30:00,12,40.0,0.0,48.0,40.0,0.0,0.0,232.0,0.0,ZIH,104.0
2016-04-01 07:45:00,12,40.0,0.0,0.0,40.0,0.0,0.0,220.0,0.0,ZIH,140.0
2016-04-01 08:00:00,12,80.0,40.0,0.0,80.0,0.0,0.0,224.0,0.0,ZIH,104.0
2016-04-01 08:15:00,12,40.0,0.0,80.0,40.0,0.0,0.0,296.0,0.0,ZIH,136.0
2016-04-01 08:30:00,12,80.0,40.0,52.0,1040.0,0.0,0.0,1208.0,0.0,ZIH,76.0
2016-04-01 08:45:00,12,80.0,40.0,0.0,1280.0,0.0,0.0,1436.0,0.0,ZIH,116.0
2016-04-01 09:00:00,12,80.0,40.0,0.0,1280.0,0.0,0.0,1516.0,0.0,ZIH,196.0
2016-04-01 09:15:00,12,120.0,40.0,48.0,1320.0,0.0,0.0,1608.0,0.0,ZIH,160.0
2016-04-01 09:30:00,12,80.0,40.0,0.0,1280.0,0.0,0.0,1596.0,0.0,ZIH,276.0
