DateTime,Home,BI,BO,DW,HP,PV,SE,SI,WM,proposition
2016-04-01 13:15:00,27,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,IHM
2016-04-01 13:30:00,27,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,IHM
2016-04-01 13:45:00,27,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,IHM
2016-04-01 14:00:00,27,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,IHM
2016-04-01 14:15:00,27,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,IHM
2016-04-01 14:30:00,27,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,IHM
2016-04-01 14:45:00,27,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,IHM
2016-04-01 15:00:00,27,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,IHM
2016-04-01 15:15:00,27,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,IHM
2016-04-01 15:30:00,27,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,IHM
2016-04-01 15:45:00,27,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,IHM
2016-04-01 16:00:00,27,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,IHM
2016-04-01 16:15:00,27,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,IHM
2016-04-01 16:30:00,27,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,IHM
2016-04-01 16:45:00,27,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,IHM
2016-04-01 17:00:00,27,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,IHM
2016-04-01 17:15:00,27,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,IHM
2016-04-01 17:30:00,27,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,IHM
2016-04-01 17:45:00,27,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,IHM
2016-04-01 18:00:00,27,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,IHM
2016-04-01 18:15:00,27,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,IHM
2016-04-01 18:30:00,27,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,IHM
2016-04-01 18:45:00,27,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,IHM
2016-04-01 19:00:00,27,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,IHM
2016-04-01 19:15:00,27,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,IHM
2016-04-01 19:30:00,27,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,IHM
2016-04-01 19:45:00,27,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,IHM
2016-04-01 20:00:00,27,0.0,0.0,0.0,0.0,0.0,0.0,856.0,0.0,IHM
2016-04-01 20:15:00,27,0.0,0.0,0.0,0.0,0.0,0.0,1324.0,0.0,IHM
2016-04-01 20:30:00,27,0.0,0.0,0.0,0.0,0.0,0.0,1632.0,0.0,IHM
2016-04-01 20:45:00,27,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,IHM
2016-04-01 21:00:00,27,0.0,0.0,0.0,0.0,0.0,0.0,1748.0,0.0,IHM
2016-04-01 21:15:00,27,0.0,0.0,0.0,0.0,0.0,0.0,1756.0,0.0,IHM
2016-04-01 21:30:00,27,0.0,0.0,0.0,0.0,0.0,0.0,2652.0,0.0,IHM
2016-04-01 21:45:00,27,0.0,0.0,0.0,0.0,0.0,0.0,1064.0,0.0,IHM
2016-04-01 22:00:00,27,0.0,0.0,0.0,0.0,0.0,0.0,648.0,0.0,IHM
2016-04-01 22:15:00,27,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,IHM
2016-04-01 22:30:00,27,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,IHM
2016-04-01 22:45:00,27,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,IHM
2016-04-01 23:00:00,27,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,IHM
2016-04-01 23:15:00,27,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,IHM
2016-04-01 23:30:00,27,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,IHM
2016-04-01 23:45:00,27,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,IHM
2016-04-02 00:00:00,27,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,IHM
