DateTime,Home,BI,BO,DW,HP,PV,SE,SI,WM,proposition
2016-04-01 00:00:00,3,0.0,0.0,24.0,1520.0,0.0,0.0,2244.0,0.0,BMZ
2016-04-01 00:15:00,3,0.0,0.0,8.0,2280.0,0.0,0.0,2924.0,0.0,BMZ
2016-04-01 00:30:00,3,0.0,0.0,8.0,520.0,0.0,0.0,1204.0,0.0,BMZ
2016-04-01 00:45:00,3,0.0,0.0,12.0,1320.0,0.0,0.0,2732.0,0.0,BMZ
2016-04-01 01:00:00,3,0.0,0.0,8.0,1840.0,0.0,0.0,3748.0,0.0,BMZ
2016-04-01 01:15:00,3,0.0,0.0,4.0,40.0,0.0,0.0,1084.0,0.0,BMZ
2016-04-01 01:30:00,3,0.0,0.0,4.0,40.0,0.0,0.0,444.0,0.0,BMZ
2016-04-01 01:45:00,3,0.0,0.0,0.0,80.0,0.0,0.0,816.0,0.0,BMZ
2016-04-01 02:00:00,3,0.0,0.0,4.0,440.0,0.0,0.0,984.0,0.0,BMZ
2016-04-01 02:15:00,3,0.0,0.0,0.0,1520.0,0.0,0.0,1940.0,0.0,BMZ
2016-04-01 02:30:00,3,0.0,0.0,0.0,1520.0,0.0,0.0,1832.0,0.0,BMZ
2016-04-01 02:45:00,3,0.0,0.0,4.0,1560.0,0.0,0.0,1836.0,0.0,BMZ
2016-04-01 03:00:00,3,0.0,0.0,0.0,1560.0,0.0,0.0,1888.0,0.0,BMZ
2016-04-01 03:15:00,3,0.0,0.0,4.0,1560.0,0.0,0.0,1876.0,0.0,BMZ
2016-04-01 03:30:00,3,0.0,0.0,0.0,1560.0,0.0,0.0,1856.0,0.0,BMZ
2016-04-01 03:45:00,3,0.0,0.0,4.0,1600.0,0.0,0.0,1920.0,0.0,BMZ
2016-04-01 04:00:00,3,0.0,0.0,0.0,1360.0,0.0,0.0,1736.0,0.0,BMZ
2016-04-01 04:15:00,3,0.0,0.0,0.0,40.0,0.0,0.0,292.0,0.0,BMZ
2016-04-01 04:30:00,3,0.0,0.0,4.0,40.0,0.0,0.0,256.0,0.0,BMZ
2016-04-01 04:45:00,3,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,BMZ
2016-04-01 05:00:00,3,0.0,0.0,0.0,80.0,0.0,0.0,232.0,0.0,BMZ
2016-04-01 05:15:00,3,0.0,0.0,4.0,40.0,0.0,0.0,300.0,0.0,BMZ
2016-04-01 05:30:00,3,0.0,0.0,0.0,40.0,0.0,0.0,240.0,0.0,BMZ
2016-04-01 05:45:00,3,0.0,0.0,4.0,80.0,0.0,0.0,236.0,0.0,BMZ
2016-04-01 06:00:00,3,0.0,0.0,0.0,40.0,0.0,0.0,352.0,0.0,BMZ
2016-04-01 06:15:00,3,0.0,0.0,0.0,80.0,0.0,0.0,276.0,0.0,BMZ
2016-04-01 06:30:00,3,0.0,0.0,4.0,40.0,0.0,0.0,280.0,0.0,BMZ
2016-04-01 06:45:00,3,0.0,0.0,0.0,80.0,0.0,0.0,328.0,0.0,BMZ
2016-04-01 07:00:00,3,0.0,0.0,4.0,40.0,0.0,0.0,248.0,0.0,BMZ
2016-04-01 07:15:00,3,0.0,0.0,0.0,1920.0,0.0,0.0,2060.0,0.0,BMZ
2016-04-01 07:30:00,3,0.0,0.0,0.0,640.0,0.0,0.0,912.0,0.0,BMZ
2016-04-01 07:45:00,3,0.0,0.0,4.0,960.0,0.0,0.0,1156.0,0.0,BMZ
2016-04-01 08:00:00,3,0.0,0.0,0.0,1520.0,0.0,0.0,1780.0,0.0,BMZ
2016-04-01 08:15:00,3,0.0,0.0,4.0,1560.0,0.0,0.0,1820.0,0.0,BMZ
2016-04-01 08:30:00,3,0.0,0.0,0.0,1520.0,0.0,0.0,1768.0,0.0,BMZ
