DateTime,Home,BI,BO,DW,HP,PV,SE,SI,WM,proposition,UL
2016-04-01 00:00:00,8,0.0,0.0,0.0,40.0,0.0,0.0,456.0,0.0,ZIH,416.0
2016-04-01 00:15:00,8,40.0,0.0,0.0,760.0,0.0,0.0,1092.0,0.0,ZIH,292.0
2016-04-01 00:30:00,8,80.0,40.0,0.0,1680.0,4.0,0.0,1920.0,0.0,ZIH,204.0
2016-04-01 00:45:00,8,40.0,0.0,0.0,1760.0,0.0,0.0,1928.0,0.0,ZIH,128.0
2016-04-01 01:00:00,8,40.0,0.0,0.0,80.0,0.0,0.0,324.0,0.0,ZIH,204.0
2016-04-01 01:15:00,8,40.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,ZIH,196.0
2016-04-01 01:30:00,8,40.0,0.0,0.0,1000.0,4.0,0.0,1168.0,0.0,ZIH,132.0
2016-04-01 01:45:00,8,40.0,0.0,676.0,1000.0,0.0,0.0,1852.0,0.0,ZIH,136.0
2016-04-01 02:00:00,8,40.0,0.0,724.0,1040.0,0.0,0.0,1868.0,0.0,ZIH,64.0
2016-04-01 02:15:00,8,40.0,0.0,1792.0,1040.0,4.0,0.0,3036.0,0.0,ZIH,168.0
2016-04-01 02:30:00,8,40.0,40.0,384.0,840.0,0.0,0.0,1484.0,0.0,ZIH,260.0
2016-04-01 02:45:00,8,40.0,0.0,80.0,40.0,0.0,0.0,312.0,0.0,ZIH,152.0
2016-04-01 03:00:00,8,40.0,0.0,1392.0,40.0,0.0,0.0,1624.0,0.0,ZIH,152.0
2016-04-01 03:15:00,8,40.0,0.0,1124.0,80.0,4.0,0.0,1404.0,0.0,ZIH,164.0
2016-04-01 03:30:00,8,40.0,0.0,12.0,320.0,0.0,0.0,484.0,0.0,ZIH,112.0
2016-04-01 03:45:00,8,40.0,0.0,12.0,1000.0,0.0,0.0,1248.0,0.0,ZIH,196.0
2016-04-01 04:00:00,8,40.0,0.0,8.0,1040.0,4.0,0.0,1292.0,0.0,ZIH,208.0
2016-04-01 04:15:00,8,40.0,0.0,8.0,1040.0,0.0,0.0,1304.0,0.0,ZIH,216.0
2016-04-01 04:30:00,8,40.0,0.0,0.0,1040.0,0.0,0.0,1340.0,0.0,ZIH,260.0
2016-04-01 04:45:00,8,40.0,40.0,0.0,1080.0,0.0,0.0,1348.0,0.0,ZIH,268.0
2016-04-01 05:00:00,8,40.0,0.0,0.0,560.0,4.0,0.0,804.0,0.0,ZIH,208.0
2016-04-01 05:15:00,8,40.0,0.0,0.0,40.0,0.0,0.0,200.0,0.0,ZIH,120.0
2016-04-01 05:30:00,8,40.0,0.0,0.0,80.0,0.0,0.0,196.0,0.0,ZIH,76.0
2016-04-01 05:45:00,8,0.0,0.0,0.0,40.0,0.0,0.0,200.0,0.0,ZIH,160.0
2016-04-01 06:00:00,8,40.0,0.0,0.0,40.0,4.0,0.0,200.0,0.0,ZIH,124.0
2016-04-01 06:15:00,8,40.0,0.0,0.0,760.0,0.0,0.0,916.0,0.0,ZIH,116.0
2016-04-01 06:30:00,8,80.0,0.0,0.0,1040.0,0.0,0.0,1276.0,0.0,ZIH,156.0
2016-04-01 06:45:00,8,40.0,0.0,0.0,1040.0,4.0,0.0,1300.0,0.0,ZIH,224.0
2016-04-01 07:00:00,8,40.0,0.0,0.0,1040.0,0.0,0.0,1220.0,0.0,ZIH,140.0
2016-04-01 07:15:00,8,40.0,0.0,0.0,1040.0,0.0,0.0,1204.0,0.0,ZIH,124.0
2016-04-01 07:30:00,8,0.0,0.0,0.0,880.0,0.0,0.0,1008.0,0.0,ZIH,128.0
2016-04-01 07:45:00,8,40.0,0.0,0.0,40.0,4.0,0.0,200.0,0.0,ZIH,124.0
2016-04-01 08:00:00,8,40.0,0.0,0.0,40.0,0.0,0.0,200.0,0.0,ZIH,120.0
2016-04-01 08:15:00,8,40.0,0.0,0.0,40.0,0.0,0.0,268.0,0.0,ZIH,188.0
2016-04-01 08:30:00,8,40.0,0.0,0.0,40.0,4.0,0.0,264.0,0.0,ZIH,188.0
2016-04-01 08:45:00,8,40.0,40.0,0.0,600.0,0.0,0.0,768.0,0.0,ZIH,168.0
2016-04-01 09:00:00,8,40.0,0.0,0.0,1000.0,0.0,0.0,1228.0,0.0,ZIH,188.0
2016-04-01 09:15:00,8,40.0,0.0,0.0,1080.0,4.0,0.0,1220.0,0.0,ZIH,104.0
2016-04-01 09:30:00,8,40.0,0.0,0.0,1040.0,24.0,0.0,1292.0,0.0,ZIH,236.0
2016-04-01 09:45:00,8,40.0,0.0,0.0,840.0,80.0,0.0,1280.0,0.0,ZIH,480.0
2016-04-01 10:00:00,8,320.0,0.0,0.0,40.0,548.0,44.0,40.0,0.0,ZIH,184.0
2016-04-01 10:15:00,8,320.0,360.0,0.0,880.0,956.0,16.0,104.0,0.0,ZIH,204.0
2016-04-01 10:30:00,8,40.0,80.0,0.0,1600.0,1184.0,4.0,764.0,0.0,ZIH,384.0
2016-04-01 10:45:00,8,0.0,0.0,0.0,1760.0,1360.0,0.0,564.0,0.0,ZIH,164.0
2016-04-01 11:00:00,8,600.0,0.0,0.0,400.0,1520.0,464.0,132.0,0.0,ZIH,188.0
2016-04-01 11:15:00,8,800.0,0.0,0.0,40.0,1612.0,668.0,0.0,0.0,ZIH,104.0
2016-04-01 11:30:00,8,760.0,0.0,0.0,0.0,1668.0,664.0,0.0,0.0,ZIH,244.0
2016-04-01 11:45:00,8,800.0,40.0,0.0,0.0,1936.0,652.0,80.0,0.0,ZIH,604.0
2016-04-01 12:00:00,8,680.0,0.0,0.0,40.0,1616.0,584.0,0.0,0.0,ZIH,312.0
2016-04-01 12:15:00,8,680.0,0.0,0.0,0.0,1824.0,608.0,72.0,0.0,ZIH,608.0
2016-04-01 12:30:00,8,800.0,0.0,0.0,0.0,1792.0,664.0,0.0,0.0,ZIH,328.0
2016-04-01 12:45:00,8,760.0,0.0,0.0,40.0,1840.0,732.0,4.0,0.0,ZIH,312.0
2016-04-01 13:00:00,8,120.0,0.0,0.0,0.0,1924.0,1468.0,0.0,0.0,ZIH,336.0
2016-04-01 13:15:00,8,40.0,0.0,0.0,0.0,1968.0,1656.0,0.0,0.0,ZIH,272.0
2016-04-01 13:30:00,8,40.0,0.0,0.0,40.0,1824.0,1452.0,0.0,0.0,ZIH,292.0
2016-04-01 13:45:00,8,40.0,80.0,0.0,0.0,1944.0,1724.0,0.0,0.0,ZIH,260.0
2016-04-01 14:00:00,8,40.0,0.0,0.0,0.0,1620.0,1468.0,0.0,0.0,ZIH,112.0
2016-04-01 14:15:00,8,40.0,0.0,0.0,40.0,1632.0,1432.0,0.0,0.0,ZIH,120.0
2016-04-01 14:30:00,8,0.0,0.0,0.0,0.0,1840.0,1612.0,8.0,0.0,ZIH,236.0
2016-04-01 14:45:00,8,40.0,0.0,0.0,40.0,1752.0,1544.0,0.0,0.0,ZIH,128.0
2016-04-01 15:00:00,8,80.0,40.0,0.0,0.0,1716.0,1184.0,80.0,0.0,ZIH,572.0
2016-04-01 15:15:00,8,40.0,0.0,0.0,0.0,1628.0,1292.0,0.0,0.0,ZIH,296.0
2016-04-01 15:30:00,8,40.0,0.0,0.0,40.0,1560.0,1228.0,0.0,0.0,ZIH,252.0
2016-04-01 15:45:00,8,160.0,280.0,0.0,0.0,1468.0,476.0,116.0,968.0,ZIH,260.0
2016-04-01 16:00:00,8,320.0,0.0,0.0,40.0,1360.0,764.0,0.0,56.0,ZIH,180.0
2016-04-01 16:15:00,8,40.0,0.0,0.0,0.0,1268.0,1012.0,0.0,0.0,ZIH,216.0
2016-04-01 16:30:00,8,40.0,0.0,0.0,0.0,1160.0,900.0,0.0,0.0,ZIH,220.0
2016-04-01 16:45:00,8,40.0,0.0,0.0,40.0,1032.0,728.0,0.0,0.0,ZIH,224.0
2016-04-01 17:00:00,8,0.0,80.0,0.0,0.0,748.0,508.0,20.0,0.0,ZIH,340.0
2016-04-01 17:15:00,8,40.0,0.0,0.0,0.0,792.0,476.0,0.0,0.0,ZIH,276.0
2016-04-01 17:30:00,8,40.0,0.0,0.0,40.0,540.0,336.0,0.0,0.0,ZIH,124.0
2016-04-01 17:45:00,8,40.0,0.0,0.0,0.0,528.0,344.0,0.0,0.0,ZIH,144.0
2016-04-01 18:00:00,8,40.0,0.0,0.0,0.0,508.0,332.0,0.0,0.0,ZIH,136.0
2016-04-01 18:15:00,8,40.0,0.0,0.0,40.0,440.0,260.0,0.0,0.0,ZIH,100.0
2016-04-01 18:30:00,8,0.0,0.0,0.0,0.0,388.0,212.0,0.0,0.0,ZIH,176.0
2016-04-01 18:45:00,8,40.0,80.0,0.0,0.0,412.0,76.0,92.0,0.0,ZIH,468.0
2016-04-01 19:00:00,8,40.0,280.0,0.0,40.0,384.0,64.0,4.0,0.0,ZIH,524.0
2016-04-01 19:15:00,8,0.0,480.0,0.0,0.0,388.0,4.0,204.0,0.0,ZIH,1068.0
2016-04-01 19:30:00,8,40.0,520.0,0.0,40.0,364.0,64.0,188.0,0.0,ZIH,928.0
