Interval;Power(W)
00:00;91024
00:15;108808
00:30;100848
00:45;93264
01:00;85924
01:15;78836
01:30;72372
01:45;66652
02:00;62052
02:15;58816
02:30;56580
02:45;54964
03:00;53844
03:15;52724
03:30;51604
03:45;50612
04:00;49740
04:15;48868
04:30;48248
04:45;47876
05:00;47628
05:15;47628
05:30;47752
05:45;48124
06:00;48620
06:15;49368
06:30;50236
06:45;51356
07:00;52724
07:15;54716
07:30;57948
07:45;63544
08:00;72496
08:15;85304
08:30;101096
08:45;118380
09:00;135540
09:15;151584
09:30;166256
09:45;179560
10:00;191500
10:15;202192
10:30;212016
10:45;221344
11:00;230792
11:15;240368
11:30;249444
11:45;256908
12:00;261880
12:15;263372
12:30;261384
12:45;256036
13:00;247332
13:15;235768
13:30;222212
13:45;208036
14:00;194608
14:15;182796
14:30;172720
14:45;164268
15:00;157304
15:15;151708
15:30;146856
15:45;142752
16:00;138652
16:15;134672
16:30;131688
16:45;130816
17:00;133552
17:15;140392
17:30;150340
17:45;161656
18:00;172848
18:15;182544
18:30;190876
18:45;198588
19:00;205924
19:15;213260
19:30;219352
19:45;222712
20:00;221468
20:15;215000
20:30;204804
20:45;193488
21:00;183168
21:15;175832
21:30;170608
21:45;166256
22:00;161404
22:15;155188
22:30;147480
22:45;138776
23:00;129324
23:15;119624
23:30;109924
23:45;100352
