Interval;Power(W)
00:00;91024
00:15;84188
00:30;75720
00:45;68372
01:00;62144
01:15;57536
01:30;54300
01:45;52184
02:00;50812
02:15;49940
02:30;49316
02:45;49068
03:00;48696
03:15;48320
03:30;48072
03:45;47700
04:00;47700
04:15;47824
04:30;48320
04:45;48944
05:00;49816
05:15;50936
05:30;53676
05:45;59404
06:00;69492
06:15;84688
06:30;103120
06:45;122048
07:00;138860
07:15;151440
07:30;160032
07:45;165264
08:00;167880
08:15;168624
08:30;167880
08:45;165760
09:00;162772
09:15;159036
09:30;155176
09:45;151316
10:00;148200
10:15;146084
10:30;144716
10:45;144092
11:00;144092
11:15;144588
11:30;145712
11:45;147828
12:00;151316
12:15;156172
12:30;161404
12:45;165636
13:00;167880
13:15;167132
13:30;164020
13:45;159412
14:00;154428
14:15;149696
14:30;145460
14:45;141600
15:00;137864
15:15;134376
15:30;131388
15:45;128900
16:00;127528
16:15;127280
16:30;128524
16:45;131512
17:00;136868
17:15;144464
17:30;154056
17:45;165140
18:00;177220
18:15;189796
18:30;202004
18:45;213212
19:00;222800
19:15;230024
19:30;234384
19:45;235256
20:00;232140
20:15;225044
20:30;215080
20:45;204120
21:00;193784
21:15;185440
21:30;178588
21:45;172364
22:00;165888
22:15;158412
22:30;150068
22:45;141104
23:00;131636
23:15;122048
23:30;112336
23:45;102744
