Interval;Power(W)
00:00;93532
00:15;88520
00:30;85268
00:45;82392
01:00;79140
01:15;74392
01:30;68764
01:45;63140
02:00;58264
02:15;54888
02:30;52888
02:45;51760
03:00;51012
03:15;50384
03:30;49884
03:45;49384
04:00;48884
04:15;48512
04:30;48136
04:45;47884
05:00;47884
05:15;48136
05:30;48884
05:45;50384
06:00;53012
06:15;57012
06:30;62388
06:45;69140
07:00;77016
07:15;86144
07:30;96396
07:45;107648
08:00;119652
08:15;132276
08:30;144780
08:45;156156
09:00;165408
09:15;172036
09:30;176412
09:45;179164
10:00;181036
10:15;182536
10:30;184040
10:45;185540
11:00;187288
11:15;189416
11:30;191916
11:45;195040
12:00;198792
12:15;203044
12:30;207292
12:45;210544
13:00;212292
13:15;211792
13:30;209544
13:45;206044
14:00;201916
14:15;197668
14:30;193664
14:45;189788
15:00;186288
15:15;183164
15:30;180536
15:45;178412
16:00;176912
16:15;176160
16:30;177160
16:45;181164
17:00;189416
17:15;202416
17:30;218296
17:45;234300
18:00;247676
18:15;256552
18:30;261428
18:45;263928
19:00;265304
19:15;266556
19:30;266304
19:45;263056
20:00;254928
20:15;241176
20:30;223796
20:45;205544
21:00;189416
21:15;177412
21:30;169160
21:45;163784
22:00;160284
22:15;157656
22:30;155156
22:45;152032
23:00;147780
23:15;141780
23:30;134280
23:45;126028
