Interval;Power(W)
00:00;93280
00:15;84308
00:30;75828
00:45;68468
01:00;62232
01:15;57620
01:30;54376
01:45;52256
02:00;50884
02:15;50012
02:30;49388
02:45;49136
03:00;48764
03:15;48388
03:30;48140
03:45;47768
04:00;47768
04:15;47892
04:30;48388
04:45;49012
05:00;49888
05:15;51008
05:30;53752
05:45;59488
06:00;69592
06:15;84808
06:30;103264
06:45;122220
07:00;139056
07:15;151652
07:30;160260
07:45;165496
08:00;168116
08:15;168864
08:30;168116
08:45;165996
09:00;163004
09:15;159260
09:30;155396
09:45;151528
10:00;148412
10:15;146292
10:30;144920
10:45;144296
11:00;144296
11:15;144792
11:30;145916
11:45;148036
12:00;151528
12:15;156392
12:30;161632
12:45;165872
13:00;168116
13:15;167368
13:30;164248
13:45;159636
14:00;154648
14:15;149908
14:30;145668
14:45;141800
15:00;138060
15:15;134568
15:30;131576
15:45;129080
16:00;127708
16:15;127460
16:30;128704
16:45;131700
17:00;137060
17:15;144668
17:30;154272
17:45;165372
18:00;177468
18:15;190064
18:30;202288
18:45;213512
19:00;223116
19:15;230348
19:30;234712
19:45;235588
20:00;232468
20:15;225360
20:30;215384
20:45;204408
21:00;194056
21:15;185700
21:30;178840
21:45;172604
22:00;166120
22:15;158636
22:30;150280
22:45;141300
23:00;131824
23:15;122220
23:30;112492
23:45;102888
